,Refcode,DOI,Authors,Journal,Journal year,Journal volume,Journal page or number,Cation SMILES,Cation substructure SMILES,Space group,Int Tables number,Temperature,a,b,c,alpha,beta,gamma,V,Z,R factor,MX4 type,M,X,X_t1,X_t2,X_d1,X_d2,X_d3,X_d4,t1_t2,t1_d1,t1_d2,t1_d3,t1_d4,t2_d1,t2_d2,t2_d3,t2_d4,d1_d2,d1_d3,d1_d4,d2_d3,d2_d4,d3_d4,d_average,delta_d,sigma_2,X...X contacts,VdW contacts,N_XX,N_VdW,XX_min,XX_average,VdW_average,Type of bandgap,Bandgap,Bangap estimation comments
0,AGODEI,10.1016/j.mencom.2018.09.012,"P.A.Buikin, A.B.Ilyukhin, A.E.Baranchikov, K.E.Yorov, V.Yu.Kotov",Mendeleev Commun. ,2018,28.0,490,[nH+]1c(N)cccc1,[nH+]1c(N)cccc1,Pbcn,60,150.0,11.8999,15.1567,7.6774,90.0,90.0,90.0,1384.721,4,2.67,alpha,Bi,I,2.9415,2.9415,3.2501,3.0779,3.2501,3.0779,100.505,90.072,94.778,167.921,86.864,167.921,86.864,90.072,94.778,86.451,80.071,91.585,91.585,177.438,86.451,3.0898,0.00166999,27.6812,3.9399 3.9399 3.9399 3.9399 4.4849 4.4849 4.4849 4.4849,3.9399 3.9399 3.9399 3.9399,8.0,4.0,3.9399,4.2124,3.9399,direct,2.0,
1,AGODIM,10.1016/j.mencom.2018.09.012,"P.A.Buikin, A.B.Ilyukhin, A.E.Baranchikov, K.E.Yorov, V.Yu.Kotov",Mendeleev Commun. ,2018,28.0,490,[nH+]1cc(N)ccc1,[nH+]1cc(N)ccc1,P21/c,14,150.0,7.666,14.1101,12.9262,90.0,93.285,90.0,1395.904,4,3.29,alpha,Bi,I,2.9063,2.9142,3.2527,3.0931,3.3108,3.1059,93.176,90.487,91.634,177.585,90.714,176.076,89.931,89.135,93.715,88.559,87.22,87.64,89.067,175.548,88.436,3.0972,0.00242951,4.2499,3.9611 3.9611 4.1119 4.1119 4.1668 4.1668,3.9611 3.9611 4.1119 4.1119 4.1668 4.1668,6.0,6.0,3.9611,4.0799,4.0799,direct,2.07,
2,AGODOS,10.1016/j.mencom.2018.09.012,"P.A.Buikin, A.B.Ilyukhin, A.E.Baranchikov, K.E.Yorov, V.Yu.Kotov",Mendeleev Commun. ,2018,28.0,490,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,Pbcn,60,120.0,12.2131,14.8489,7.5997,90.0,90.0,90.0,1378.214,4,2.07,alpha,Bi,I,2.9566,2.9566,3.1915,3.0724,3.1915,3.0724,98.029,90.864,95.538,169.235,86.183,169.235,86.183,90.864,95.538,86.936,80.996,91.075,91.075,177.386,86.936,3.0735,0.00097359,23.5087,3.9195 3.9195 3.9195 3.9195 4.477 4.477 4.477 4.477,3.9195 3.9195 3.9195 3.9195,8.0,4.0,3.9195,4.1982,3.9195,direct,1.97,
3,AGODOS01,10.1021/acs.inorgchem.9b01439,"Yue-Qiao Hu, Hong-Yan Hui, Wei-Quan Lin, Hong-Qiang Wen, De-Suo Yang, Guo-Dong Feng",Inorg.Chem. ,2019,58.0,16346,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,Pbcn,60,297.0,12.339,14.974,7.746,90.0,90.0,90.0,1431.183,4,1.7,alpha,Bi,I,2.9624,2.9624,3.2304,3.0933,3.2304,3.0933,97.801,90.625,94.803,169.534,86.839,169.534,86.839,90.625,94.803,86.278,81.729,91.836,91.836,177.509,86.278,3.0954,0.0012496,20.9651,3.9932 3.9932 3.9932 3.9932 4.5914 4.5914 4.5914 4.5914,3.9932 3.9932 3.9932 3.9932,8.0,4.0,3.9932,4.2923,3.9932,direct,1.94,
4,AGODOS02,10.1039/D3DT02910G,"G.Abdi, M.Gryl, A.Slawek, E.Kowalewska, T.Mazur, A.Podborska, K.Mech, P.Zawal, A.Pritam, Angelika Kmita, L.Alluhaibi, A.Maximenko, C.Vijayakumar, K.Szacilowski",Dalton Trans. ,2023,52.0,14649,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,Pbcn,60,100.0,12.2049,14.8651,7.6069,90.0,90.0,90.0,1380.097,4,2.02,alpha,Bi,I,2.9619,2.9619,3.1958,3.0777,3.1958,3.0777,98.001,90.945,95.542,169.203,86.181,169.203,86.181,90.945,95.542,86.952,80.858,91.054,91.054,177.382,86.952,3.0785,0.00096218,23.7071,3.9123 3.9123 3.9123 3.9123 4.473 4.473 4.473 4.473,3.9123 3.9123 3.9123 3.9123,8.0,4.0,3.9123,4.1927,3.9123,direct,1.91,
5,AQALEM,10.1080/24701556.2021.1897137,"Jiahua Guo, Yuqi Zhang, Shouwen Jin, Xiaoyun Ye, Kaikai Hu, Weiqiang Xu, Daqi Wang",Inorg.Nano-Metal Chem. ,2021,,1,c1ccccc1C[NH+](C)C,c1ccccc1C[NH+](C)C,Cc,9,298.0,13.167,15.1001,8.1195,90.0,111.175,90.0,1505.345,4,3.0,alpha,Sb,Cl,2.361,2.3992,2.9242,2.4468,3.5908,2.9068,91.124,83.562,91.836,148.346,84.87,173.301,93.258,80.448,94.794,82.873,106.204,88.808,118.902,171.355,65.728,2.7715,0.02441999,176.0434,4.0333 4.0333,,2.0,0.0,4.0333,4.0333,4.0333,,,
6,AYENEZ,10.1039/C6DT03602C,"A.J.Dennington, M.T.Weller",Dalton Trans. ,2016,45.0,17974,[NH2+]1CC[NH2+]CC1,[NH2+]1CC[NH2+]CC1.O.O.O.O,P21/c,14,292.0,7.4697,13.1773,13.9099,90.0,95.109,90.0,1363.719,2,4.51,alpha,Bi,I,2.8921,2.9596,3.2266,3.065,3.3114,3.0907,93.492,90.411,95.753,174.216,89.497,175.62,89.146,92.116,93.791,88.483,84.036,88.227,85.743,173.823,88.717,3.0909,0.00217136,11.4612,3.8001 3.8001 4.4371 4.4371 4.3383 4.3383,3.8001 3.8001,6.0,2.0,3.8001,4.1918,3.8001,direct,2.0,
7,AYENEZ01,10.1039/C6DT03602C,"A.J.Dennington, M.T.Weller",Dalton Trans. ,2016,45.0,17974,[NH2+]1CC[NH2+]CC1,[NH2+]1CC[NH2+]CC1.O.O.O.O,P21/c,14,150.0,7.3508,13.0215,13.9875,90.0,94.588,90.0,1334.572,2,3.83,alpha,Bi,I,2.8911,2.9602,3.2148,3.0582,3.3014,3.0807,93.141,90.55,95.93,173.607,89.079,176.176,89.153,93.164,93.804,89.474,83.165,87.247,85.22,174.042,89.449,3.0844,0.00205994,13.555,3.7611 3.7611 4.3958 4.3958 4.2536 4.2536,3.7611 3.7611,6.0,2.0,3.7611,4.1368,3.7611,direct,2.0,
8,AYENOJ,10.1039/C6DT03602C,"A.J.Dennington, M.T.Weller",Dalton Trans. ,2016,45.0,17974,[NH+](C)1CC[NH2+]CC1,[NH+](C)1CC[NH2+]CC1.O.O.O,P21/c,14,292.0,7.6488,13.1532,13.7033,90.0,96.481,90.0,1369.826,2,4.28,alpha,Bi,I,2.9043,2.9386,3.2369,3.061,3.2887,3.1066,94.62,89.358,94.457,172.756,88.645,174.045,88.264,91.911,94.924,87.01,84.379,89.589,88.861,175.368,87.675,3.0894,0.00208824,11.0706,3.8111 3.8111 4.3571 4.3571 4.2268 4.2268,3.8111 3.8111,6.0,2.0,3.8111,4.1317,3.8111,direct,1.95,
9,AYENOJ01,10.1039/C6DT03602C,"A.J.Dennington, M.T.Weller",Dalton Trans. ,2016,45.0,17974,[NH+](C)1CC[NH2+]CC1,[NH+](C)1CC[NH2+]CC1.O.O.O,P21/c,14,150.0,7.5434,13.0515,13.6716,90.0,96.347,90.0,1337.756,2,3.23,alpha,Bi,I,2.8989,2.9358,3.2161,3.0453,3.2791,3.0993,94.469,89.519,94.33,172.603,88.452,174.546,88.153,92.448,94.979,87.837,83.753,88.837,88.501,175.644,88.342,3.0791,0.00199222,11.4177,3.7647 3.7647 4.3237 4.3237 4.1693 4.1693,3.7647 3.7647 4.1693 4.1693,6.0,4.0,3.7647,4.0859,3.967,direct,1.95,
10,AYEPAX,10.1039/C6DT03602C,"A.J.Dennington, M.T.Weller",Dalton Trans. ,2016,45.0,17974,[NH+](C)1CC[NH+](C)CC1,[NH+](C)1CC[NH+](C)CC1.O.O,P21/c,14,286.0,7.7971,13.0868,13.5505,90.0,97.925,90.0,1369.475,2,4.25,alpha,Bi,I,2.9213,2.928,3.263,3.1181,3.251,3.0641,95.757,92.17,96.257,172.247,87.248,170.778,87.923,88.221,93.36,86.534,84.468,91.715,90.523,176.133,85.874,3.0909,0.00195401,15.109,4.0722 4.0722 4.2439 4.2439 3.8169 3.8169,4.0722 4.0722 3.8169 3.8169,6.0,4.0,3.8169,4.0443,3.9446,direct,1.92,
11,AYEPAX01,10.1039/C6DT03602C,"A.J.Dennington, M.T.Weller",Dalton Trans. ,2016,45.0,17974,[NH+](C)1CC[NH+](C)CC1,[NH+](C)1CC[NH+](C)CC1.O.O,P21/c,14,150.0,7.7293,13.0336,13.499,90.0,97.955,90.0,1346.811,2,3.43,alpha,Bi,I,2.9226,2.9298,3.2553,3.1203,3.2395,3.0558,95.825,92.38,96.461,172.688,87.134,170.743,87.648,88.087,93.227,87.178,84.231,91.451,89.855,176.199,86.479,3.0872,0.00184317,14.9934,4.0148 4.0148 4.2096 4.2096 3.7787 3.7787,4.0148 4.0148 3.7787 3.7787,6.0,4.0,3.7787,4.001,3.8968,direct,1.92,
12,BAWVII,10.1016/j.poly.2022.115768,"Si-Hui Tan, Zhao-Hui Chen, Huan Luo, Ting Liu, Guo-Qing Zhong",Polyhedron ,2022,218.0,115768,c1cc2c(c3c(ccc[nH+]3)cc2)nc1,c1cc2c(c3c(ccc[nH+]3)cc2)nc1,P-1,2,293.0,7.2587,10.1703,12.1042,77.95,75.12,69.334,801.11,2,4.88,alpha,Bi,Cl,2.5012,2.5571,2.9327,2.753,2.9788,2.6991,94.455,90.351,92.792,171.143,89.419,170.824,89.991,90.39,93.489,81.96,85.9,94.372,94.622,175.723,82.879,2.737,0.00414769,19.3696,3.9553,,1.0,0.0,3.9553,3.9553,3.9553,,,
13,BAYFOZ,10.1002/ejic.201601087,"S.Pandey, Anju Nair, A.P.Andrews, A.Venugopal",Eur.J.Inorg.Chem. ,2017,,798,[NH3+]c1c(C(C)C)cccc1C(C)C,[NH3+]c1c(C(C)C)cccc1C(C)C,C2/c,15,296.0,17.694,14.605,7.754,90.0,106.706,90.0,1919.22,4,5.07,alpha,Bi,Br,2.6766,2.6766,3.1235,2.8783,3.1235,2.8783,90.526,89.771,92.018,173.014,89.574,173.014,89.574,89.771,92.018,83.44,90.781,94.963,94.963,177.738,83.44,2.8928,0.00399027,13.1663,6.1553 6.1553 6.1553 6.1553,,4.0,0.0,6.1553,6.1553,6.1553,indirect,1.87,"Probably, there are ingap cation state"
14,BEQQOD,10.1107/S0108270199008264,"M.Bujak, P.Osadczuk, J.Zaleski","Acta Crystallogr.,Sect.C:Cryst.Struct.Commun. ",1999,55.0,1443,CN(C)C(N(C)C)=[NH2+],CN(C)C(N(C)C)=[NH2+],P-1,2,92.0,7.818,8.849,10.333,101.18,104.81,103.72,646.261,1,2.0,alpha,Sb,Cl,2.3681,2.4507,2.9506,2.7972,3.2304,2.503,92.92,83.809,83.948,163.282,86.268,175.628,87.344,86.544,89.304,89.421,97.429,93.366,112.695,169.479,77.019,2.7167,0.01271458,78.847,3.2993,3.2993,1.0,1.0,3.2993,3.2993,3.2993,,,
