,Refcode,Composition,Temperature,X_t1,X_t2,X_d1,X_d2,X_d3,X_d4,t1_t2,t1_d1,t1_d2,t1_d3,t1_d4,t2_d1,t2_d2,t2_d3,t2_d4,d1_d2,d1_d3,d1_d4,d2_d3,d2_d4,d3_d4,d_average,delta_d,sigma_2,N_XX,N_VdW,XX_min,XX_average,VdW_average,XXmin_2r,XXaver_2r,VdW_2r,M,I,Br,Cl,Bandgap
0,AGODEI,Bi_I,150.0,2.9415,2.9415,3.2501,3.0779,3.2501,3.0779,100.505,90.072,94.778,167.921,86.864,167.921,86.864,90.072,94.778,86.451,80.071,91.585,91.585,177.438,86.451,3.0898,0.00166999,27.6812,8.0,4.0,3.9399,4.2124,3.9399,0.9380714285714286,1.0029523809523808,0.9380714285714286,0.0,1.0,0.0,0,2.0
1,AGODIM,Bi_I,150.0,2.9063,2.9142,3.2527,3.0931,3.3108,3.1059,93.176,90.487,91.634,177.585,90.714,176.076,89.931,89.135,93.715,88.559,87.22,87.64,89.067,175.548,88.436,3.0972,0.00242951,4.2499,6.0,6.0,3.9611,4.0799,4.0799,0.9431190476190476,0.9714047619047619,0.9714047619047619,0.0,1.0,0.0,0,2.07
2,AGODOS,Bi_I,120.0,2.9566,2.9566,3.1915,3.0724,3.1915,3.0724,98.029,90.864,95.538,169.235,86.183,169.235,86.183,90.864,95.538,86.936,80.996,91.075,91.075,177.386,86.936,3.0735,0.00097359,23.5087,8.0,4.0,3.9195,4.1982,3.9195,0.9332142857142858,0.9995714285714286,0.9332142857142858,0.0,1.0,0.0,0,1.97
3,AGODOS01,Bi_I,297.0,2.9624,2.9624,3.2304,3.0933,3.2304,3.0933,97.801,90.625,94.803,169.534,86.839,169.534,86.839,90.625,94.803,86.278,81.729,91.836,91.836,177.509,86.278,3.0954,0.0012496,20.9651,8.0,4.0,3.9932,4.2923,3.9932,0.9507619047619047,1.0219761904761904,0.9507619047619047,0.0,1.0,0.0,0,1.94
4,AGODOS02,Bi_I,100.0,2.9619,2.9619,3.1958,3.0777,3.1958,3.0777,98.001,90.945,95.542,169.203,86.181,169.203,86.181,90.945,95.542,86.952,80.858,91.054,91.054,177.382,86.952,3.0785,0.00096218,23.7071,8.0,4.0,3.9123,4.1927,3.9123,0.9315,0.9982619047619048,0.9315,0.0,1.0,0.0,0,1.91
5,AYENEZ,Bi_I,292.0,2.8921,2.9596,3.2266,3.065,3.3114,3.0907,93.492,90.411,95.753,174.216,89.497,175.62,89.146,92.116,93.791,88.483,84.036,88.227,85.743,173.823,88.717,3.0909,0.00217136,11.4612,6.0,2.0,3.8001,4.1918,3.8001,0.9047857142857143,0.998047619047619,0.9047857142857143,0.0,1.0,0.0,0,2.0
6,AYENEZ01,Bi_I,150.0,2.8911,2.9602,3.2148,3.0582,3.3014,3.0807,93.141,90.55,95.93,173.607,89.079,176.176,89.153,93.164,93.804,89.474,83.165,87.247,85.22,174.042,89.449,3.0844,0.00205994,13.555,6.0,2.0,3.7611,4.1368,3.7611,0.8955,0.9849523809523809,0.8955,0.0,1.0,0.0,0,2.0
7,AYENOJ,Bi_I,292.0,2.9043,2.9386,3.2369,3.061,3.2887,3.1066,94.62,89.358,94.457,172.756,88.645,174.045,88.264,91.911,94.924,87.01,84.379,89.589,88.861,175.368,87.675,3.0894,0.00208824,11.0706,6.0,2.0,3.8111,4.1317,3.8111,0.9074047619047619,0.9837380952380953,0.9074047619047619,0.0,1.0,0.0,0,1.95
8,AYENOJ01,Bi_I,150.0,2.8989,2.9358,3.2161,3.0453,3.2791,3.0993,94.469,89.519,94.33,172.603,88.452,174.546,88.153,92.448,94.979,87.837,83.753,88.837,88.501,175.644,88.342,3.0791,0.00199222,11.4177,6.0,4.0,3.7647,4.0859,3.967,0.8963571428571429,0.9728333333333332,0.9445238095238095,0.0,1.0,0.0,0,1.95
9,AYEPAX,Bi_I,286.0,2.9213,2.928,3.263,3.1181,3.251,3.0641,95.757,92.17,96.257,172.247,87.248,170.778,87.923,88.221,93.36,86.534,84.468,91.715,90.523,176.133,85.874,3.0909,0.00195401,15.109,6.0,4.0,3.8169,4.0443,3.9446,0.9087857142857142,0.9629285714285714,0.9391904761904761,0.0,1.0,0.0,0,1.92
